[2016-04-13 13:08:11,407][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 13:08:16,921][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 13:08:16,921][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 13:08:16,921][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 13:08:16,921][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 13:08:16,936][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 13:08:16,936][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 13:08:16,936][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 13:08:47,791][DEBUG][com.jzctb.mis.action.TestAction.Search(TestAction.java:28)] - INFO = [hello]
[2016-04-13 13:08:47,807][DEBUG][com.jzctb.mis.action.MisAction.getRequestParams(MisAction.java:119)] - params: info=[hello]
[2016-04-13 13:08:47,807][DEBUG][com.jzctb.mis.action.MisAction.getRequestParams(MisAction.java:119)] - params: 参数10=[值10]
[2016-04-13 14:46:22,470][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/AlipaySum.do]
[2016-04-13 14:46:22,474][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:46:23,996][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/AlipaySumSearch.do]
[2016-04-13 14:46:23,997][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:46:24,017][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:21)] -  pageNum  = [1]
[2016-04-13 14:46:24,017][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:22)] - pageSize  = [20]
[2016-04-13 14:46:24,017][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:23)] - beginDate = [20160314]
[2016-04-13 14:46:24,018][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:24)] -   endDate = [20160413]
[2016-04-13 14:46:24,018][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:28)] - SQL = [select trandate,pay,refund,balance,bishu1,bishu2 from v_alipaysum where trandate between ? and ? order by trandate desc ]
[2016-04-13 14:46:24,018][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:32)] - SQL1 = [select count(1),sum(pay),sum(refund),sum(balance),sum(bishu1),sum(bishu2) from (select trandate,pay,refund,balance,bishu1,bishu2 from v_alipaysum where trandate between ? and ? order by trandate desc ) t]
[2016-04-13 14:46:24,022][DEBUG][com.jzctb.mis.db.AlipaySumDao.Search(AlipaySumDao.java:60)] - SQL2 = [select * from(select rownum rn, t.* from (select trandate,pay,refund,balance,bishu1,bishu2 from v_alipaysum where trandate between ? and ? order by trandate desc )t where rownum < ?) where rn > ? ]
[2016-04-13 14:47:42,177][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 14:47:43,644][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 14:47:47,686][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:47:47,801][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:47:47,940][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:47:47,968][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:47:47,969][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:47:47,983][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:47:47,984][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:47:47,987][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:47:47,988][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:47:47,993][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:47:48,000][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:47:48,674][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 14:47:48,675][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:47:48,680][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 14:47:48,680][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 14:47:48,685][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 14:47:48,688][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 14:47:48,689][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 14:48:02,100][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:02,101][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:02,105][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:48:02,108][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:48:02,109][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:48:02,109][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:48:02,110][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:48:02,112][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:02,112][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:02,115][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:48:02,119][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:48:07,180][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:07,180][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:07,184][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:48:07,187][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:48:07,187][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:48:07,194][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:48:07,194][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:48:07,197][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:07,197][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:07,201][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:48:07,203][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:48:07,866][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 14:48:07,866][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:48:07,867][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 14:48:07,867][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 14:48:07,872][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 14:48:07,875][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 14:48:07,875][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 14:48:08,787][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:08,787][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:08,792][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:48:08,795][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:48:08,795][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:48:08,796][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:48:08,796][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:48:08,799][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:08,799][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:08,803][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:48:08,805][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:48:09,618][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 14:48:09,618][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:48:09,619][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 14:48:09,620][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 14:48:09,625][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 14:48:09,628][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 14:48:09,628][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 14:48:12,155][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:12,156][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:12,164][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:48:12,167][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:48:12,168][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:48:12,169][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:48:12,169][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:48:12,171][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:12,171][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:12,175][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:48:12,178][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:48:13,229][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:13,230][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:13,235][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:48:13,237][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:48:13,238][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:48:13,238][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:48:13,239][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:48:13,241][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:48:13,241][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:48:13,244][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:48:13,247][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:52:06,997][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:52:06,997][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:52:07,007][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 14:52:07,007][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 14:52:07,014][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 14:52:07,016][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 14:52:07,597][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 14:52:07,597][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 14:52:07,597][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 14:52:07,597][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 14:52:07,597][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 14:52:07,613][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 14:52:07,613][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 17:32:18,418][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 17:32:38,586][DEBUG][com.jzctb.mis.action.EncryptAction.execute(EncryptAction.java:13)] - string1 = [1234567890ABCDEF]
[2016-04-13 17:32:38,586][DEBUG][com.jzctb.mis.action.EncryptAction.execute(EncryptAction.java:14)] -    mode = [0]
[2016-04-13 17:32:38,599][DEBUG][com.jzctb.mis.action.EncryptAction.execute(EncryptAction.java:15)] -     key = [12345678]
[2016-04-13 17:32:38,655][ERROR][com.opensymphony.xwork2.util.logging.commons.CommonsLogger.error(CommonsLogger.java:38)] - Exception occurred during processing request: 生成key失败。 Cause: java.lang.NullPointerException
java.lang.RuntimeException: 生成key失败。 Cause: java.lang.NullPointerException
	at com.jzctb.mis.encrypt.DESUtil.setKey(DESUtil.java:48)
	at com.jzctb.mis.encrypt.DESUtil.<init>(DESUtil.java:23)
	at com.jzctb.mis.action.MisAction.passwd(MisAction.java:142)
	at com.jzctb.mis.action.EncryptAction.execute(EncryptAction.java:17)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at com.opensymphony.xwork2.DefaultActionInvocation.invokeAction(DefaultActionInvocation.java:450)
	at com.opensymphony.xwork2.DefaultActionInvocation.invokeActionOnly(DefaultActionInvocation.java:289)
	at com.opensymphony.xwork2.DefaultActionInvocation.invoke(DefaultActionInvocation.java:252)
	at org.apache.struts2.interceptor.DeprecationInterceptor.intercept(DeprecationInterceptor.java:41)
	at com.opensymphony.xwork2.DefaultActionInvocation.invoke(DefaultActionInvocation.java:246)
	at org.apache.struts2.interceptor.debugging.DebuggingInterceptor.intercept(DebuggingInterceptor.java:256)
	at com.opensymphony.xwork2.DefaultActionInvocation.invoke(DefaultActionInvocation.java:246)
